Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	HN-score(HN5)	name
ENSG00000173110	1	161524540	161526894	1	245	HSPA6
ENSG00000204389	6	31815543	31817946	1	239	HSPA1A
ENSG00000204388	6	31827738	31830254	1	231	HSPA1B
ENSG00000132002	19	14514769	14560391	-1	210	DNAJB1
ENSG00000151929	10	119651380	119677819	1	181	BAG3
ENSG00000146453	6	159800249	159820704	1	175	PNLDC1
ENSG00000109846	11	111908564	111923722	-1	173	CRYAB
ENSG00000120694	13	31134973	31162388	-1	167	HSPH1
ENSG00000178381	7	1152071	1160759	-1	165	ZFAND2A
ENSG00000170345	14	75278826	75282230	1	165	FOS
ENSG00000166592	16	66921685	66925535	-1	155	RRAD
ENSG00000226979	6	31572054	31574324	1	154	LTA
ENSG00000204390	6	31809619	31815283	-1	150	HSPA1L
ENSG00000162616	1	77979175	78017964	1	149	DNAJB4
ENSG00000160570	19	42198598	42220140	-1	143	DEDD2
ENSG00000182308	4	41981756	41986465	1	141	DCAF4L1
ENSG00000119630	14	74941834	74955626	-1	141	PGF
ENSG00000162783	1	181088700	181092900	1	140	IER5
ENSG00000188536	16	172876	173710	1	139	HBA2
ENSG00000004478	12	2794970	2805423	1	129	FKBP4
ENSG00000261857	19	40771648	40777490	1	127	MIA
ENSG00000112773	6	81491439	81752774	-1	127	TENT5A
ENSG00000184378	3	169766921	169769561	-1	126	ACTRT3
ENSG00000116741	1	192809039	192812275	1	122	RGS2
ENSG00000189030	1	156298624	156299307	-1	121	VHLL
ENSG00000149257	11	75562056	75572783	1	119	SERPINH1
ENSG00000196900	5	126631705	126636284	1	119	TEX43
ENSG00000125740	19	45467995	45475179	1	118	FOSB
ENSG00000128253	22	32190435	32205073	-1	117	RFPL2
ENSG00000188573	5	168529305	168530634	1	116	FBLL1
ENSG00000176714	2	27625638	27629012	-1	113	CCDC121
ENSG00000181016	7	112480853	112491062	1	113	LSMEM1
ENSG00000106211	7	76302673	76304295	1	112	HSPB1
ENSG00000171786	1	160367071	160372846	1	111	NHLH1
ENSG00000149201	11	86374736	86423109	1	109	CCDC81
ENSG00000104804	19	48880965	48898744	-1	108	TULP2
ENSG00000140403	15	78264086	78282196	1	106	DNAJA4
ENSG00000122877	10	62811996	62819167	-1	104	EGR2
ENSG00000179148	17	8095900	8119047	-1	100	ALOXE3
ENSG00000187944	2	196804417	196809355	-1	100	C2orf66
ENSG00000152137	12	119171555	119224855	1	100	HSPB8
ENSG00000182896	17	7355123	7357219	1	99	TMEM95
ENSG00000099139	9	75890644	76362975	1	98	PCSK5
ENSG00000187922	9	136738167	136743356	-1	98	LCN10
ENSG00000143199	1	167809386	167914215	-1	97	ADCY10
ENSG00000164070	4	127781821	127840733	1	96	HSPA4L
ENSG00000149212	11	95165513	95232541	-1	95	SESN3
ENSG00000006606	7	75769533	75789896	-1	95	CCL26
ENSG00000087589	20	56412112	56460387	1	91	CASS4
ENSG00000270757	2	197500413	197550726	1	90	HSPE1-MOB4
ENSG00000204421	6	31718648	31721746	-1	89	LY6G6C
ENSG00000132952	13	30617693	30660770	1	89	USPL1
ENSG00000162772	1	212565334	212620777	1	88	ATF3
ENSG00000120738	5	138465479	138469303	1	87	EGR1
ENSG00000120129	5	172768096	172771195	-1	87	DUSP1
ENSG00000204103	20	40685848	40689236	-1	86	MAFB
ENSG00000167280	17	79074824	79088599	1	83	ENGASE
ENSG00000187581	14	93347182	93348356	1	83	COX8C
ENSG00000129654	17	76136333	76141245	-1	83	FOXJ1
ENSG00000215547	20	31257664	31259632	1	83	DEFB115
ENSG00000104808	19	48933699	48944969	1	82	DHDH
ENSG00000120885	8	27596917	27614700	-1	81	CLU
ENSG00000108342	17	40015361	40017813	1	81	CSF3
ENSG00000243414	5	115578496	115602479	-1	81	TICAM2
ENSG00000120903	8	27459756	27479883	-1	80	CHRNA2
ENSG00000268975	19	40771648	40796943	1	80	MIA-RAB4B
ENSG00000249693	4	56530606	56603507	1	79	THEGL
ENSG00000234776	11	45906513	45907272	-1	79	FREY1
ENSG00000110172	11	90200429	90223077	-1	79	CHORDC1
ENSG00000260596	4	190173774	190185942	1	78	DUX4
ENSG00000105219	19	40222208	40226697	-1	78	CCNP
ENSG00000260325	17	42122804	42123352	1	76	HSPB9
ENSG00000177688	6	149400262	149401278	1	76	SUMO4
ENSG00000235863	6	33277123	33284832	1	75	B3GALT4
ENSG00000197520	1	222737202	222751004	1	75	FAM177B
ENSG00000108551	17	17494437	17496395	-1	74	RASD1
ENSG00000183655	15	85759326	85794925	-1	74	KLHL25
ENSG00000006283	17	50560715	50627474	1	74	CACNA1G
ENSG00000177283	10	35638247	35642296	-1	73	FZD8
ENSG00000170276	11	111912734	111914093	1	73	HSPB2
ENSG00000187475	6	26107412	26108135	-1	72	H1-6
ENSG00000128242	22	30554635	30574665	-1	72	GAL3ST1
ENSG00000172361	18	50227193	50266495	-1	72	CFAP53
ENSG00000187479	11	43942637	43943878	1	72	C11orf96
ENSG00000178297	19	2360238	2426261	1	72	TMPRSS9
ENSG00000117601	1	173903800	173917327	-1	72	SERPINC1
ENSG00000211645	22	22327300	22327814	1	72	IGLV1-50
ENSG00000198576	8	142611049	142614479	-1	71	ARC
ENSG00000241322	17	15565483	15619704	-1	71	FBXW10B
ENSG00000068079	17	43006740	43014456	1	71	IFI35
ENSG00000126759	X	47623172	47630305	-1	70	CFP
ENSG00000165507	10	44970981	44978809	-1	70	DEPP1
ENSG00000179363	X	103710909	103714032	1	70	TMEM31
ENSG00000171747	19	38801671	38812945	-1	70	LGALS4
ENSG00000170458	5	140631728	140633700	-1	70	CD14
ENSG00000206172	16	176680	177522	1	69	HBA1
ENSG00000164949	8	94249253	94262350	-1	69	GEM
ENSG00000179388	8	22687659	22693480	-1	69	EGR3
ENSG00000182759	8	143419182	143430732	-1	69	MAFA
ENSG00000185955	7	100456620	100464260	-1	69	SPACDR
ENSG00000232810	6	31575565	31578336	1	68	TNF
ENSG00000184716	15	43794162	43800220	-1	68	SERINC4
ENSG00000080824	14	102080742	102139699	-1	68	HSP90AA1
ENSG00000119508	9	99821855	99866891	1	68	NR4A3
ENSG00000091831	6	151656691	152129619	1	67	ESR1
ENSG00000160963	7	101362875	101559024	1	67	COL26A1
ENSG00000169402	7	6754103	6799365	1	67	RSPH10B2
ENSG00000086061	9	33025273	33039907	1	67	DNAJA1
ENSG00000168334	3	39183210	39192596	-1	67	XIRP1
ENSG00000070495	17	76712832	76726799	-1	67	JMJD6
ENSG00000089692	12	6772512	6778455	1	67	LAG3
ENSG00000196189	1	156147366	156177752	1	67	SEMA4A
ENSG00000203907	6	73368555	73395133	-1	66	OOEP
ENSG00000172771	3	129401321	129428636	-1	66	EFCAB12
ENSG00000213937	16	3012923	3014505	1	66	CLDN9
ENSG00000175564	11	74000277	74009085	-1	65	UCP3
ENSG00000163352	1	154993586	154994315	1	65	LENEP
ENSG00000184697	16	3014712	3020071	-1	65	CLDN6
ENSG00000138068	2	37167820	37196598	-1	64	SULT6B1
ENSG00000187559	9	68302867	68305084	1	64	FOXD4L3
ENSG00000130822	X	153669733	153689010	-1	64	PNCK
ENSG00000211892	14	105620506	105626066	-1	64	IGHG4
ENSG00000214226	17	56791913	56838773	-1	63	C17orf67
ENSG00000013441	2	200853009	200864691	-1	63	CLK1
ENSG00000179046	4	188091272	188109603	-1	63	TRIML2
ENSG00000177606	1	58776845	58784048	-1	63	JUN
ENSG00000125378	14	53949736	53958761	-1	63	BMP4
ENSG00000183423	4	109848107	109872315	1	63	LRIT3
ENSG00000112110	6	159789812	159798436	1	63	MRPL18
ENSG00000138308	10	72934762	72954806	-1	62	PLA2G12B
ENSG00000115009	2	227805739	227817564	1	62	CCL20
ENSG00000180447	9	86944362	86947506	-1	62	GAS1
ENSG00000176076	X	109623700	109625172	-1	62	KCNE5
ENSG00000204475	6	31588895	31593006	-1	62	NCR3
ENSG00000204671	12	122172029	122174221	-1	62	IL31
ENSG00000124657	6	27957241	27958182	1	62	OR2B6
ENSG00000184368	X	20006713	20116907	-1	62	MAP7D2
ENSG00000205129	4	185426249	185449826	1	61	C4orf47
ENSG00000010379	12	220621	262873	-1	61	SLC6A13
ENSG00000140839	16	74408631	74421478	-1	61	CLEC18B
ENSG00000137463	4	139266165	139280225	-1	61	MGARP
ENSG00000174776	3	167478684	167653983	-1	59	WDR49
ENSG00000163806	2	28782517	28850611	1	59	SPDYA
ENSG00000198130	2	190189735	190344193	-1	59	HIBCH
ENSG00000225899	10	133623895	133626795	-1	59	FRG2B
ENSG00000198743	21	34073578	34106260	1	58	SLC5A3
ENSG00000184786	6	169740109	169751587	-1	58	DYNLT2
ENSG00000171823	12	1565993	1594581	-1	58	FBXL14
ENSG00000155026	7	5925550	5970689	-1	58	RSPH10B
ENSG00000165555	14	77394021	77423523	-1	58	NOXRED1
ENSG00000139597	13	32400723	32428311	-1	58	N4BP2L1
ENSG00000122035	13	27270830	27275192	1	58	RASL11A
ENSG00000128271	22	24417879	24442357	1	57	ADORA2A
ENSG00000178404	17	78890579	78903217	-1	57	CEP295NL
ENSG00000186416	X	119588337	119606443	-1	57	NKRF
ENSG00000117598	1	98890245	99227929	-1	57	PLPPR5
ENSG00000143167	1	167052836	167166479	-1	57	GPA33
ENSG00000118514	6	134917393	134950115	-1	57	ALDH8A1
ENSG00000196993	16	28751787	28772864	1	57	NPIPB9
ENSG00000136535	2	161416297	161425870	1	57	TBR1
ENSG00000009790	1	209756032	209782320	1	57	TRAF3IP3
ENSG00000197540	19	544034	549924	1	57	GZMM
ENSG00000087074	19	48872212	48876059	1	57	PPP1R15A
ENSG00000101888	X	109535781	109544698	1	56	NXT2
ENSG00000167525	17	28703197	28711888	-1	56	PROCA1
ENSG00000028277	19	42086110	42196585	-1	56	POU2F2
ENSG00000215644	17	81804132	81814008	1	56	GCGR
ENSG00000124103	20	56517187	56526152	1	56	FAM209A
ENSG00000146233	6	46549580	46652830	-1	56	CYP39A1
ENSG00000273514	9	41126435	41128681	-1	56	FOXD4L6
ENSG00000151364	11	78015715	78046191	-1	55	KCTD14
ENSG00000173261	5	146084313	146105577	-1	55	PLAC8L1
ENSG00000170315	17	16380798	16382745	1	55	UBB
ENSG00000139908	14	24205696	24208362	1	55	TSSK4
ENSG00000144381	2	197486584	197516737	-1	55	HSPD1
ENSG00000160325	9	133459965	133470848	1	54	CACFD1
ENSG00000105668	19	35666517	35678481	1	54	UPK1A
ENSG00000215274	X	49303646	49319841	1	54	GAGE10
ENSG00000255150	12	104303739	104305205	1	54	EID3
ENSG00000119938	10	91628442	91633071	-1	53	PPP1R3C
ENSG00000184502	17	41712331	41715969	1	53	GAST
ENSG00000110876	12	108621895	108633894	-1	53	SELPLG
ENSG00000184647	8	10525532	10554166	1	53	PRSS55
ENSG00000149781	11	64205926	64223896	1	53	FERMT3
ENSG00000283361	13	114154691	114223085	1	53	CFAP97D2
ENSG00000188959	9	110190048	110208159	-1	52	C9orf152
ENSG00000015520	7	44512535	44541330	-1	52	NPC1L1
ENSG00000167608	19	54160108	54173250	-1	52	TMC4
ENSG00000177459	8	98064522	98093610	1	52	ERICH5
ENSG00000116161	1	174999163	175012027	1	52	CACYBP
ENSG00000176381	6	166305300	166308448	-1	51	PRR18
ENSG00000184205	X	53082367	53088540	1	51	TSPYL2
ENSG00000107742	10	72059034	72089032	-1	51	SPOCK2
ENSG00000189001	19	35523367	35528351	-1	51	SBSN
ENSG00000187049	11	61392393	61398866	1	51	TMEM216
ENSG00000182013	19	46466491	46471563	-1	51	PNMA8A
ENSG00000125998	20	35285731	35292425	-1	51	FAM83C
ENSG00000164683	8	79762371	79767857	-1	51	HEY1
ENSG00000174226	8	100572889	100663415	-1	51	SNX31
ENSG00000171931	17	18744026	18779349	1	51	FBXW10
ENSG00000169375	15	75369379	75455842	-1	-14	SIN3A
ENSG00000126264	19	35902529	35904377	1	-14	HCST
ENSG00000100105	22	31325804	31346346	-1	-14	PATZ1
ENSG00000111671	12	6870935	6889358	-1	-14	SPSB2
ENSG00000170473	12	55901413	55932618	-1	-14	PYM1
ENSG00000204479	1	13389632	13392629	1	-14	PRAMEF17
ENSG00000156469	8	96239398	96261610	-1	-14	MTERF3
ENSG00000083093	16	23603160	23641321	-1	-14	PALB2
ENSG00000101255	20	362835	397559	1	-14	TRIB3
ENSG00000166133	15	40569299	40574949	1	-14	RPUSD2
ENSG00000132773	1	45340052	45343973	1	-14	TOE1
ENSG00000161653	17	44004622	44009068	1	-14	NAGS
ENSG00000277775	6	26250142	26250635	-1	-14	H3C7
ENSG00000169508	13	99294539	99307399	-1	-14	GPR183
ENSG00000100281	22	35257452	35295807	1	-14	HMGXB4
ENSG00000160813	7	100435282	100436497	-1	-14	PPP1R35
ENSG00000101463	20	24469629	24666616	1	-14	SYNDIG1
ENSG00000107104	9	470291	746105	1	-14	KANK1
ENSG00000184675	X	64185117	64205708	-1	-14	AMER1
ENSG00000171045	8	142212080	142403182	-1	-14	TSNARE1
ENSG00000175087	1	26111165	26125555	1	-14	PDIK1L
ENSG00000166477	15	51938025	51971778	-1	-14	LEO1
ENSG00000184602	16	11668455	11679152	1	-14	SNN
ENSG00000137819	15	69298912	69407780	1	-14	PAQR5
ENSG00000255837	12	10995961	10998304	-1	-14	TAS2R20
ENSG00000112984	5	138178719	138187723	1	-14	KIF20A
ENSG00000175505	11	67364168	67374177	-1	-14	CLCF1
ENSG00000198353	12	54016931	54056030	1	-14	HOXC4
ENSG00000129173	11	19224063	19241620	-1	-14	E2F8
ENSG00000166855	15	65148219	65185342	-1	-15	CLPX
ENSG00000104081	15	40087890	40108892	-1	-15	BMF
ENSG00000135476	12	53268299	53293638	1	-15	ESPL1
ENSG00000186280	11	94973709	94999519	1	-15	KDM4D
ENSG00000164938	8	94925972	94949378	-1	-15	TP53INP1
ENSG00000127084	9	92947523	93036236	1	-15	FGD3
ENSG00000112365	6	109460632	109483239	-1	-15	ZBTB24
ENSG00000176092	1	26321698	26360080	-1	-15	CRYBG2
ENSG00000198551	19	11559374	11619161	1	-15	ZNF627
ENSG00000164849	7	1044546	1059261	1	-15	GPR146
ENSG00000145241	4	67468762	67545503	-1	-15	CENPC
ENSG00000168040	11	70203296	70207390	1	-15	FADD
ENSG00000143971	2	67397322	67412089	1	-15	ETAA1
ENSG00000232838	20	18137863	18143169	1	-15	PET117
ENSG00000240857	2	18554723	18560679	-1	-15	RDH14
ENSG00000182359	11	106051098	106077459	-1	-15	KBTBD3
ENSG00000107201	9	32455302	32526208	-1	-15	RIGI
ENSG00000145365	4	112272968	112285955	-1	-15	TIFA
ENSG00000205078	16	77199408	77213215	1	-15	SYCE1L
ENSG00000234409	22	20148416	20151055	-1	-15	CCDC188
ENSG00000081692	1	227730425	227735411	-1	-15	JMJD4
ENSG00000186118	1	46668855	46673594	1	-15	TEX38
ENSG00000178226	16	31138926	31150083	-1	-15	PRSS36
ENSG00000099849	11	560404	564025	1	-15	RASSF7
ENSG00000147168	X	71107404	71112108	-1	-15	IL2RG
ENSG00000153292	6	46997708	47042350	-1	-15	ADGRF1
ENSG00000151353	2	663877	677406	-1	-15	TMEM18
ENSG00000129071	3	129430947	129440179	-1	-15	MBD4
ENSG00000254959	7	30752137	30892081	1	-15	INMT-MINDY4
ENSG00000132109	11	4384897	4393702	-1	-15	TRIM21
ENSG00000166246	16	4734344	4749396	1	-15	DNAAF8
ENSG00000179886	8	143597831	143603224	1	-15	TIGD5
ENSG00000183092	14	100537147	100587417	-1	-15	BEGAIN
ENSG00000160678	1	153627926	153632039	1	-15	S100A1
ENSG00000104524	8	143603210	143609773	-1	-15	PYCR3
ENSG00000176909	19	48712725	48719725	-1	-16	MAMSTR
ENSG00000148840	10	102132994	102150333	1	-16	PPRC1
ENSG00000187808	X	119758588	119760202	1	-16	SOWAHD
ENSG00000008513	8	133454848	133571926	-1	-16	ST3GAL1
ENSG00000132825	20	59936663	59940305	-1	-16	PPP1R3D
ENSG00000163825	3	46494611	46500950	1	-16	RTP3
ENSG00000285509	11	121024125	121113108	1	-16	TBCEL-TECTA
ENSG00000173227	11	67006778	67050863	1	-16	SYT12
ENSG00000183671	2	206175316	206218047	-1	-16	CMKLR2
ENSG00000163823	3	46201711	46208313	-1	-16	CCR1
ENSG00000204444	6	31652416	31658210	1	-16	APOM
ENSG00000014138	11	65261913	65305959	1	-16	POLA2
ENSG00000125089	4	8182072	8241803	1	-16	SH3TC1
ENSG00000196456	7	150368790	150398630	1	-16	ZNF775
ENSG00000151117	11	18693122	18704785	1	-16	TMEM86A
ENSG00000205923	16	2530035	2531417	-1	-16	CEMP1
ENSG00000100324	22	39399778	39437060	1	-16	TAB1
ENSG00000275714	6	26020451	26020958	1	-16	H3C1
ENSG00000155846	5	149730298	149855022	1	-16	PPARGC1B
ENSG00000223658	2	43675151	43676429	-1	-16	C1GALT1C1L
ENSG00000138604	15	69160584	69272217	1	-16	GLCE
ENSG00000174015	13	45702320	45714559	1	-16	CBY2
ENSG00000119574	19	58513530	58538911	-1	-16	ZBTB45
ENSG00000175449	5	95646777	95684773	1	-17	RFESD
ENSG00000168806	15	43323649	43330582	-1	-17	LCMT2
ENSG00000286219	1	149390621	149471833	1	-17	NOTCH2NLC
ENSG00000111186	12	1529891	1647212	1	-17	WNT5B
ENSG00000167653	8	142670308	142682725	1	-17	PSCA
ENSG00000183396	3	48620759	48621769	-1	-17	TMEM89
ENSG00000249709	19	12525373	12551542	-1	-17	ZNF564
ENSG00000175283	9	128945530	128947603	-1	-17	DOLK
ENSG00000204767	5	169861303	169980495	-1	-17	INSYN2B
ENSG00000169174	1	55039447	55064852	1	-17	PCSK9
ENSG00000162063	16	2429394	2458854	1	-17	CCNF
ENSG00000142731	4	127880893	127899224	1	-17	PLK4
ENSG00000167183	17	47951967	47957883	-1	-17	PRR15L
ENSG00000196372	10	5638867	5666595	-1	-18	ASB13
ENSG00000151702	11	128686535	128813267	1	-18	FLI1
ENSG00000152778	10	89414568	89421605	1	-18	IFIT5
ENSG00000123096	12	26121991	26299290	1	-18	SSPN
ENSG00000156006	8	18391282	18401218	1	-18	NAT2
ENSG00000205808	9	4662294	4665258	1	-18	PLPP6
ENSG00000131746	17	40475828	40501623	-1	-18	TNS4
ENSG00000119714	14	91232532	91253925	-1	-18	GPR68
ENSG00000137124	9	38392702	38398661	1	-18	ALDH1B1
ENSG00000106351	7	100539203	100568220	1	-18	AGFG2
ENSG00000177971	15	75639085	75648706	-1	-18	IMP3
ENSG00000123485	2	233833416	233854566	-1	-18	HJURP
ENSG00000179023	1	18480930	18485974	1	-18	KLHDC7A
ENSG00000218891	19	55576774	55580848	-1	-18	ZNF579
ENSG00000179008	14	60396469	60515543	-1	-19	C14orf39
ENSG00000170779	14	105009573	105021083	-1	-19	CDCA4
ENSG00000179715	12	47079603	47236662	1	-19	PCED1B
ENSG00000211798	14	22003106	22003673	1	-19	TRAV18
ENSG00000170191	20	25612935	25624014	-1	-19	NANP
ENSG00000179476	14	44897275	44907257	1	-19	C14orf28
ENSG00000158792	16	89696357	89701705	-1	-19	SPATA2L
ENSG00000117152	1	163068775	163076802	1	-19	RGS4
ENSG00000110455	11	44065925	44084237	1	-19	ACCS
ENSG00000134690	1	37692481	37709719	1	-19	CDCA8
ENSG00000134864	13	100530164	100589528	-1	-19	GGACT
ENSG00000166507	10	73801911	73811798	-1	-19	NDST2
ENSG00000213402	11	67435510	67437682	-1	-19	PTPRCAP
ENSG00000184270	1	149887469	149887965	-1	-20	H2AC21
ENSG00000168398	14	96204679	96244166	1	-20	BDKRB2
ENSG00000212916	1	232805416	232809929	1	-20	MAP10
ENSG00000137331	6	30743199	30744548	-1	-20	IER3
ENSG00000198917	9	128819651	128829794	-1	-20	SPOUT1
ENSG00000198890	1	107056674	107067636	1	-20	PRMT6
ENSG00000243364	1	155063737	155069553	1	-20	EFNA4
ENSG00000118246	2	206765357	206796189	1	-20	FASTKD2
ENSG00000124208	20	50081124	50153637	-1	-20	PEDS1-UBE2V1
ENSG00000167799	11	67627938	67629937	-1	-20	NUDT8
ENSG00000184056	15	90998673	91022603	-1	-20	VPS33B
ENSG00000116863	1	36088892	36093932	1	-20	ADPRS
ENSG00000101452	20	38962299	39039723	1	-21	DHX35
ENSG00000062282	11	75759512	75801535	1	-21	DGAT2
ENSG00000272573	3	52833114	52835019	-1	-21	MUSTN1
ENSG00000130147	2	234952017	235055714	1	-21	SH3BP4
ENSG00000121671	11	45847118	45883248	1	-21	CRY2
ENSG00000180902	2	241734602	241768816	1	-21	D2HGDH
ENSG00000152382	1	166856510	166876264	-1	-21	TADA1
ENSG00000144120	2	119679167	119686507	1	-21	TMEM177
ENSG00000181773	1	27392622	27395814	1	-21	GPR3
ENSG00000135245	7	128455849	128458418	1	-22	HILPDA
ENSG00000134259	1	115285904	115338770	-1	-22	NGF
ENSG00000198331	11	125883614	125900646	1	-22	HYLS1
ENSG00000168298	6	26156329	26157115	1	-22	H1-4
ENSG00000128805	10	48446036	48656265	-1	-22	ARHGAP22
ENSG00000197566	17	16620734	16653856	-1	-22	ZNF624
ENSG00000275183	19	54461732	54463778	-1	-22	LENG9
ENSG00000068001	3	50317790	50322782	-1	-22	HYAL2
ENSG00000176125	7	100888721	100889715	-1	-22	UFSP1
ENSG00000214967	16	16379140	16393972	1	-22	NPIPA7
ENSG00000124143	20	38601809	38651035	1	-22	ARHGAP40
ENSG00000122861	10	73909177	73917496	1	-23	PLAU
ENSG00000178764	8	122781655	122974510	1	-23	ZHX2
ENSG00000179431	11	35618460	35620865	1	-23	FJX1
ENSG00000185614	3	49803261	49805030	1	-23	INKA1
ENSG00000037897	12	57768471	57772119	-1	-23	METTL1
ENSG00000074047	2	120735623	120992653	1	-23	GLI2
ENSG00000066629	14	99737693	99942060	1	-23	EML1
ENSG00000121797	3	46407166	46412997	1	-23	CCRL2
ENSG00000185760	6	72621792	73198853	1	-23	KCNQ5
ENSG00000236287	11	10812074	10858796	-1	-24	ZBED5
ENSG00000275835	15	22983192	23039572	-1	-24	TUBGCP5
ENSG00000170961	8	121612116	121641440	-1	-24	HAS2
ENSG00000128342	22	30240453	30246759	-1	-24	LIF
ENSG00000004660	17	3860315	3894891	-1	-24	CAMKK1
ENSG00000182810	16	68020916	68023232	-1	-25	DDX28
ENSG00000106003	7	2512529	2529177	1	-25	LFNG
ENSG00000212724	17	41059240	41060114	-1	-25	KRTAP2-3
ENSG00000179862	1	40861054	40862363	-1	-26	CITED4
ENSG00000254598	11	11351942	11353250	-1	-26	CSNK2A3
ENSG00000241945	21	44107373	44131181	1	-26	PWP2
ENSG00000196659	2	177548998	177552796	-1	-26	TTC30B
ENSG00000183479	X	153444473	153470587	-1	-26	TREX2
ENSG00000128284	22	36140329	36166177	-1	-26	APOL3
ENSG00000140451	15	64815632	64825668	-1	-26	PIF1
ENSG00000106560	7	150685697	150693641	1	-26	GIMAP2
ENSG00000215695	1	15659713	15662033	1	-26	RSC1A1
ENSG00000180884	19	34956354	34964229	-1	-27	ZNF792
ENSG00000180739	19	10512742	10517931	-1	-27	S1PR5
ENSG00000213689	3	48465811	48467645	1	-28	TREX1
ENSG00000125538	2	112829751	112836816	-1	-28	IL1B
ENSG00000175536	11	74490519	74493724	-1	-29	LIPT2
ENSG00000172789	12	54033050	54035361	1	-29	HOXC5
ENSG00000177427	17	18260597	18266552	1	-30	MIEF2
ENSG00000177352	3	49162535	49166331	-1	-31	CCDC71
ENSG00000187837	6	26055740	26056470	-1	-31	H1-2
ENSG00000119917	10	89327307	89377473	1	-31	IFIT3
ENSG00000228727	6	31762656	31764850	1	-32	SAPCD1
ENSG00000160318	19	51367098	51369003	-1	-32	CLDND2
ENSG00000174448	18	54324358	54357964	-1	-33	STARD6
ENSG00000166189	10	102065349	102068036	1	-36	HPS6
ENSG00000102921	16	48538726	48620148	-1	-41	N4BP1
ENSG00000179922	19	55620741	55624566	-1	-42	ZNF784
ENSG00000162526	1	32351521	32364312	1	-43	TSSK3
ENSG00000196196	9	35906202	35907136	1	-52	HRCT1
ENSG00000124575	6	26234212	26234987	-1	-71	H1-3
